origin_iata,origin_lon,origin_lat,dest_iata,dest_lon,dest_lat,total
DEN,-104.6737376,39.8560963,MCI,-94.7107786,39.2991181,158
ORD,-87.9073214,41.9741625,CLE,-81.8538669,41.4057985,158
ORD,-87.9073214,41.9741625,STL,-90.374819,38.7499403,158
CMH,-82.8871767,39.9999399,ORD,-87.9073214,41.9741625,157
LAX,-118.40853,33.9415889,DFW,-97.0403352,32.8998091,157
MCI,-94.7107786,39.2991181,DEN,-104.6737376,39.8560963,157
ORD,-87.9073214,41.9741625,PIT,-80.2352233,40.4919208,156
SFO,-122.3789554,37.6213129,ORD,-87.9073214,41.9741625,156
ATL,-84.4277001,33.6407282,EWR,-74.1744624,40.6895314,155
ATL,-84.4277001,33.6407282,MIA,-80.2870509,25.7958723,155
MCO,-81.308083,28.4311577,PHL,-75.2424229,39.8743959,155
ORD,-87.9073214,41.9741625,MIA,-80.2870509,25.7958723,155
SAT,-98.4683484,29.5311973,IAH,-95.3367827,29.9902199,155
CVG,-84.6630165,39.0532746,DEN,-104.6737376,39.8560963,154
DTW,-83.3553842,42.2161722,PHL,-75.2424229,39.8743959,154
LAS,-115.1537389,36.0839998,DEN,-104.6737376,39.8560963,154
LGA,-73.8739659,40.7769271,ATL,-84.4277001,33.6407282,154
MKE,-87.89664599999999,42.9475534,ORD,-87.9073214,41.9741625,154
CLT,-80.9473146,35.2144026,ATL,-84.4277001,33.6407282,153
EWR,-74.1744624,40.6895314,DTW,-83.3553842,42.2161722,153
IAH,-95.3367827,29.9902199,MEM,-89.9791729,35.0420679,153
ATL,-84.4277001,33.6407282,JFK,-73.77813909999999,40.6413111,152
DEN,-104.6737376,39.8560963,CVG,-84.6630165,39.0532746,152
PIT,-80.2352233,40.4919208,ORD,-87.9073214,41.9741625,152
BOS,-71.0095602,42.3656132,JFK,-73.77813909999999,40.6413111,151
IAD,-77.45653879999999,38.9531162,EWR,-74.1744624,40.6895314,151
IAH,-95.3367827,29.9902199,ATL,-84.4277001,33.6407282,151
PHX,-112.0077881,33.4372686,SLC,-111.9790706,40.7899404,151
MCO,-81.308083,28.4311577,EWR,-74.1744624,40.6895314,150
PHL,-75.2424229,39.8743959,ATL,-84.4277001,33.6407282,150
ABQ,-106.6129085,35.0433333,DEN,-104.6737376,39.8560963,149
IAH,-95.3367827,29.9902199,MSY,-90.2592299,29.9910905,149
ORD,-87.9073214,41.9741625,SDF,-85.7369231,38.175662,149
PHX,-112.0077881,33.4372686,SEA,-122.3088165,47.4502499,149
SEA,-122.3088165,47.4502499,ORD,-87.9073214,41.9741625,149
BOS,-71.0095602,42.3656132,ORD,-87.9073214,41.9741625,148
EWR,-74.1744624,40.6895314,ATL,-84.4277001,33.6407282,148
FLL,-80.1506022,26.0742344,EWR,-74.1744624,40.6895314,148
ORD,-87.9073214,41.9741625,CMH,-82.8871767,39.9999399,148
SFO,-122.3789554,37.6213129,SLC,-111.9790706,40.7899404,148
ATL,-84.4277001,33.6407282,LGA,-73.8739659,40.7769271,147
ATL,-84.4277001,33.6407282,TPA,-82.5311382,27.9771524,147
DEN,-104.6737376,39.8560963,MEM,-89.9791729,35.0420679,147
EWR,-74.1744624,40.6895314,FLL,-80.1506022,26.0742344,146
EWR,-74.1744624,40.6895314,RDU,-78.7879963,35.88007899999999,146
JFK,-73.77813909999999,40.6413111,LAX,-118.40853,33.9415889,146
OMA,-95.8937409,41.3018733,DEN,-104.6737376,39.8560963,146
PHL,-75.2424229,39.8743959,DTW,-83.3553842,42.2161722,146
ATL,-84.4277001,33.6407282,CLT,-80.9473146,35.2144026,144
BOS,-71.0095602,42.3656132,ATL,-84.4277001,33.6407282,144
IAH,-95.3367827,29.9902199,LAX,-118.40853,33.9415889,144
IND,-86.2955952,39.7168593,DTW,-83.3553842,42.2161722,144
DEN,-104.6737376,39.8560963,IND,-86.2955952,39.7168593,143
DEN,-104.6737376,39.8560963,OMA,-95.8937409,41.3018733,143
DTW,-83.3553842,42.2161722,EWR,-74.1744624,40.6895314,143
DTW,-83.3553842,42.2161722,IAH,-95.3367827,29.9902199,143
IND,-86.2955952,39.7168593,EWR,-74.1744624,40.6895314,143
SEA,-122.3088165,47.4502499,SLC,-111.9790706,40.7899404,143
EWR,-74.1744624,40.6895314,CLT,-80.9473146,35.2144026,142
LAS,-115.1537389,36.0839998,SLC,-111.9790706,40.7899404,142
MEM,-89.9791729,35.0420679,MSP,-93.2222846,44.8847554,142
PHL,-75.2424229,39.8743959,MCO,-81.308083,28.4311577,142
SFO,-122.3789554,37.6213129,PHX,-112.0077881,33.4372686,142
TPA,-82.5311382,27.9771524,ATL,-84.4277001,33.6407282,142
ATL,-84.4277001,33.6407282,BOS,-71.0095602,42.3656132,141
BOS,-71.0095602,42.3656132,DTW,-83.3553842,42.2161722,141
IND,-86.2955952,39.7168593,DEN,-104.6737376,39.8560963,141
LAX,-118.40853,33.9415889,IAH,-95.3367827,29.9902199,141
LAX,-118.40853,33.9415889,OAK,-122.2197428,37.7125689,141
MCO,-81.308083,28.4311577,MIA,-80.2870509,25.7958723,141
DTW,-83.3553842,42.2161722,IND,-86.2955952,39.7168593,140
EWR,-74.1744624,40.6895314,IAH,-95.3367827,29.9902199,140
IAH,-95.3367827,29.9902199,EWR,-74.1744624,40.6895314,140
LAX,-118.40853,33.9415889,JFK,-73.77813909999999,40.6413111,140
MIA,-80.2870509,25.7958723,ORD,-87.9073214,41.9741625,140
ORD,-87.9073214,41.9741625,PHL,-75.2424229,39.8743959,140
BDL,-72.68603139999999,41.9388735,ORD,-87.9073214,41.9741625,139
DEN,-104.6737376,39.8560963,ABQ,-106.6129085,35.0433333,139
PHL,-75.2424229,39.8743959,BOS,-71.0095602,42.3656132,139
PHX,-112.0077881,33.4372686,MSP,-93.2222846,44.8847554,139
PHX,-112.0077881,33.4372686,ORD,-87.9073214,41.9741625,139
COS,-104.7026039,38.801712,DEN,-104.6737376,39.8560963,138
GEG,-117.534812,47.62174779999999,SEA,-122.3088165,47.4502499,138
LAS,-115.1537389,36.0839998,ATL,-84.4277001,33.6407282,138
MCO,-81.308083,28.4311577,FLL,-80.1506022,26.0742344,138
MSP,-93.2222846,44.8847554,SEA,-122.3088165,47.4502499,138
ORD,-87.9073214,41.9741625,BDL,-72.68603139999999,41.9388735,138
SDF,-85.7369231,38.175662,ORD,-87.9073214,41.9741625,138
DEN,-104.6737376,39.8560963,IAH,-95.3367827,29.9902199,137
JFK,-73.77813909999999,40.6413111,ATL,-84.4277001,33.6407282,137
ORD,-87.9073214,41.9741625,BWI,-76.6683922,39.1774042,137
ORD,-87.9073214,41.9741625,PHX,-112.0077881,33.4372686,137
SLC,-111.9790706,40.7899404,SEA,-122.3088165,47.4502499,137
ATL,-84.4277001,33.6407282,LAS,-115.1537389,36.0839998,136
AUS,-97.66635289999999,30.19747109999999,DEN,-104.6737376,39.8560963,136
BOS,-71.0095602,42.3656132,LAX,-118.40853,33.9415889,136
CLT,-80.9473146,35.2144026,EWR,-74.1744624,40.6895314,136
OKC,-97.600556,35.393056,DFW,-97.0403352,32.8998091,136
ORD,-87.9073214,41.9741625,BOS,-71.0095602,42.3656132,136
PHL,-75.2424229,39.8743959,ORD,-87.9073214,41.9741625,136
DTW,-83.3553842,42.2161722,DFW,-97.0403352,32.8998091,135
LGA,-73.8739659,40.7769271,DTW,-83.3553842,42.2161722,135
MEM,-89.9791729,35.0420679,ATL,-84.4277001,33.6407282,135
MSP,-93.2222846,44.8847554,PHX,-112.0077881,33.4372686,135
ORD,-87.9073214,41.9741625,SLC,-111.9790706,40.7899404,135
SEA,-122.3088165,47.4502499,MSP,-93.2222846,44.8847554,135
SFO,-122.3789554,37.6213129,IAD,-77.45653879999999,38.9531162,135
DEN,-104.6737376,39.8560963,AUS,-97.66635289999999,30.19747109999999,134
IAH,-95.3367827,29.9902199,DTW,-83.3553842,42.2161722,134
LAS,-115.1537389,36.0839998,ORD,-87.9073214,41.9741625,134
MSP,-93.2222846,44.8847554,IAH,-95.3367827,29.9902199,134
MSP,-93.2222846,44.8847554,IND,-86.2955952,39.7168593,134
ORD,-87.9073214,41.9741625,JFK,-73.77813909999999,40.6413111,134
SFO,-122.3789554,37.6213129,SAN,-117.1933038,32.7338006,134
