icao_code,iata_code,name,city,country,altitude,lat_decimal,lon_decimal,id
KEDW,EDW,EDWARDS AFB,EDWARDS AFB,USA,702,34.905,-117.884,3494
KEFD,EFD,ELLINGTON FLD,HOUSTON,USA,10,29.607,-95.159,3495
KEGP,EGP,EAGLE PASS MUNI,EAGLE PASS,USA,246,28.7,-100.479,3496
KEKN,EKN,ELKINS RANDOLPH CO JENNINGS RANDOLPH,ELKINS,USA,606,38.889,-79.857,3497
KELD,ELD,SOUTH ARKANSAS RGNL AT GOODWIN FLD,EL DORADO,USA,85,33.221,-92.813,3498
KELP,ELP,EL PASO INTERNATIONAL,EL PASO,USA,1207,31.807,-106.378,3499
KEND,END,VANCE AFB,ENID,USA,399,36.34,-97.916,3500
KENV,ENV,WENDOVER,WENDOVER,USA,1291,40.719,-114.031,3501
KESF,ESF,ESLER RGNL,ALEXANDRIA,USA,35,31.395,-92.296,3502
KEWN,EWN,CRAVEN CO RGNL,NEW BERN,USA,6,35.073,-77.043,3503
KHRT,HRT,HURLBURT FLD,MARY ESTHER,USA,12,30.428,-86.689,3566
KEWR,EWR,NEWARK LIBERTY INTERNATIONAL,NEWARK,USA,6,40.692,-74.169,3504
KEYW,EYW,KEY WEST INTERNATIONAL,KEY WEST,USA,1,24.556,-81.759,3505
KFAF,FAF,FELKER AAF,FORT EUSTIS,USA,4,37.133,-76.609,3506
KFAT,FAT,FRESNO YOSEMITE INTERNATIONAL,FRESNO,USA,103,36.776,-119.718,3507
KFCS,FCS,BUTTS AAF,FORT CARSON,USA,1780,38.678,-104.756,3508
KFFO,FFO,WRIGHT PATTERSON AFB,DAYTON,USA,251,39.826,-84.048,3509
KFHU,FHU,SIERRA VISTA MUNI LIBBY AAF,FORT HUACHUCA,USA,1439,31.588,-110.344,3510
KFLL,FLL,FORT LAUDERDALE HOLLYWOOD INTERNATIONAL,FORT LAUDERDALE,USA,3,26.072,-80.153,3511
KFLO,FLO,FLORENCE RGNL,FLORENCE,USA,45,34.185,-79.724,3512
KFLV,FLV,SHERMAN AAF,FORT LEAVENWORTH,USA,236,39.368,-94.914,3513
KFME,N/A,TIPTON,FORT MEADE,USA,46,39.085,-76.759,3514
KFMH,FMH,OTIS ANGB,FALMOUTH,USA,40,41.658,-70.521,3515
KFMN,FMN,FOUR CORNERS RGNL,FARMINGTON,USA,1679,36.741,-108.23,3516
KFMY,FMY,PAGE FLD,FORT MYERS,USA,6,26.586,-81.863,3517
KFOD,FOD,FORT DODGE RGNL,FORT DODGE,USA,353,42.551,-94.193,3518
