icao_code,iata_code,name,city,country,altitude,lat_decimal,lon_decimal,id
CYCO,YCO,KUGLUKTUK,COPPERMINE,CANADA,23,67.817,-115.144,106
CYCS,YCS,N/A,CHESTERFIELD INLET,CANADA,0,0,0,107
CYCT,YCT,CORONATION,CORONATION,CANADA,791,52.075,-111.445,108
CYCV,YCV,N/A,MONTREAL,CANADA,0,0,0,109
CYCW,YCW,CHILLIWACK,CHILLIWACK,CANADA,10,49.153,-121.939,110
CYCX,N/A,N/A,CAMP GAGETOWN,CANADA,0,0,0,111
CYCY,YCY,CLYDE RIVER,CLYDE RIVER,CANADA,27,70.486,-68.517,112
CYCZ,YZS,FAIRMONT HOT SPRINGS,CORAL HARBOUR,CANADA,811,50.332,-115.874,113
CYDA,YDA,DAWSON,DAWSON,CANADA,371,64.043,-139.128,114
CYDB,YDB,BURWASH,BURWASH,CANADA,807,61.371,-139.041,115
CYDC,YDC,PRINCETON,PRINCETON,CANADA,701,49.468,-120.512,116
CYDF,YDF,DEER LAKE,DEER LAKE,CANADA,22,49.211,-57.391,117
CYDL,YDL,DEASE LAKE,DEASE LAKE,CANADA,793,58.422,-130.032,118
CYDN,YDN,DAUPHIN BARKER,DAUPHIN,CANADA,305,51.101,-100.052,119
CYDQ,YDQ,DAWSON CREEK,DAWSON CREEK,CANADA,655,55.742,-120.182,120
CYDR,N/A,N/A,BROADVIEW,CANADA,0,0,0,121
CYED,YED,EDMONTON NAMAO,EDMONTON,CANADA,0,53.667,-113.467,122
CYEG,YEG,EDMONTON INTERNATIONAL,EDMONTON,CANADA,724,53.31,-113.58,123
CYEK,YEK,ARVIAT,ESKIMO POINT,CANADA,10,61.094,-94.071,124
CYEN,YEN,ESTEVAN,ESTEVAN,CANADA,581,49.21,-102.966,125
CYEP,N/A,N/A,ESTEVAN POINT,CANADA,0,0,0,126
CYET,YET,EDSON,EDSON,CANADA,927,53.579,-116.465,127
CYEU,YEU,EUREKA,EUREKA,CANADA,79,79.995,-85.813,128
CYEV,YEV,INUVIK MIKE ZUBKO,INUVIK,CANADA,69,68.304,-133.483,129
