iata_code,lat,lon
DCK,66.94253259999999,-156.8954912
EAA,43.9859195,-88.5752792
HSL,NA,NA
RLU,NA,NA
UTO,NA,NA
VIK,38.201435,-92.84965609999999
WCR,67.5021441,-148.4943661
ZXF,NA,NA
HDN,40.4826338,-107.2169065
IDA,43.5152294,-112.0678843
PVU,31.1443439,121.808273
SWO,36.1577993,-97.08390779999999
LCH,30.1229972,-93.2211183
MHK,39.1371223,-96.6699273
PIB,31.468239,-89.335421
JAC,43.6084108,-110.7366517
GDV,47.1379556,-104.8076643
SMN,45.1235656,-113.8814234
CDR,42.8289275,-103.0968004
CEZ,37.30266830000001,-108.6280522
SVC,32.63238260000001,-108.1542125
KXA,NA,NA
WMK,NA,NA
ZXM,NA,NA
AET,66.5496076,-152.629292
FBK,64.8415654,-147.6101077
HUS,66.0437681,-154.2596004
KAL,64.3179044,-158.7427222
KBC,NA,NA
MHM,63.8832707,-152.316682
NUL,64.72862649999999,-158.0771672
RBY,NA,NA
UMT,69.370595,-152.1369609
PVY,20.6805184,-105.2523762
DQL,32.8481029,-96.8512063
LKK,58.96567870000001,-155.1101351
RBH,NA,NA
SNP,57.1577448,-170.229891
STG,37.0308263,-113.5089302
CDL,39.8259759,-104.6721582
FWL,37.7328155,-92.1368026
PIZ,NA,NA
ZXN,NA,NA
BJI,47.5092442,-94.9329041
DBQ,42.3972121,-90.7057047
FNL,21.3245132,-157.9250736
MCN,32.7014571,-83.65010079999999
VZY,NA,NA
AA9,NA,NA
ATK,70.4674655,-157.4320104
NUI,70.2105603,-151.0045729
PIH,42.9055766,-112.5886283
SUO,43.8760957,-121.4550213
JHM,20.9634547,-156.6727381
LNY,20.785386,-156.9513273
MKK,21.1535674,-157.0963276
AGC,40.3523988,-79.92704619999999
ART,43.9956627,-76.022365
AUG,44.31882179999999,-69.7955396
BID,41.169273,-71.5801455
BVY,42.5844192,-70.91528079999999
CEU,34.670951,-82.8844062
CGF,41.566839,-81.4893158
DXR,41.3715755,-73.480103
EEN,42.9064535,-72.2726019
FRY,39.6006155,-84.019655
GFL,43.3419248,-73.60884899999999
LEW,44.048795,-70.287055
LKP,44.26640700000001,-73.9648
ME3,NA,NA
ME4,NA,NA
MQI,35.9178849,-75.69996359999999
NAD,40.7769271,-73.8739659
NH4,NA,NA
NY7,40.6413111,-73.77813909999999
NY9,43.9744041,-74.423185
OWD,42.1919985,-71.17662179999999
PA6,NA,NA
PSF,42.4255587,-73.2915823
PYM,41.90873089999999,-70.7313188
RKD,44.061802,-69.09430499999999
SLK,44.3804755,-74.20342529999999
UBF,40.6413111,-73.77813909999999
VWK,39.7373443,-84.1710033
WI3,NA,NA
WSG,40.1355845,-80.2887672
WST,41.3488793,-71.8046833
WVL,44.533515,-69.680069
APA,39.57510329999999,-104.8451384
CEC,41.7747891,-124.2371456
CYS,41.15298629999999,-104.810231
DSI,30.3966602,-86.47098
DWH,30.0701768,-95.5511629
ECG,36.2575096,-76.1754727
FYV,36.0034182,-94.1719488
HUM,29.5663964,-90.65749369999999
JXN,42.2588719,-84.4603964
MNZ,38.7242662,-77.51565029999999
PAH,37.0612439,-88.7675112
PRB,35.6720769,-120.637983
T2N,51.067252,-114.1350027
TMB,25.649151,-80.4291937
TN8,NA,NA
VCT,28.852345,-96.9199383
APN,45.0721958,-83.56359359999999
CWF,30.2163924,-93.1505869
DYS,32.422379,-99.8418696
LFI,NA,NA
MIE,40.240395,-85.393616
MTN,39.32833530000001,-76.4236353
NKX,32.8701459,-117.1441227
RCA,38.851242,-77.04023149999999
SBP,35.2374865,-120.6409032
TCM,47.1342432,-122.4857321
TVC,44.7369137,-85.5796208
VOK,43.9428394,-90.2590632
YUM,32.6685512,-114.5991383
FFO,39.8137298,-84.05374479999999
RME,43.2303415,-75.4052573
A01,NA,NA
LFT,30.205482,-91.9894188
ERI,42.0840391,-80.1719311
HMN,32.8440404,-106.099291
ACV,40.9709197,-124.1065825
BQK,31.2548331,-81.46691109999999
CO6,NA,NA
DET,42.2161722,-83.3553842
FMN,36.7386433,-108.2273
FTY,33.7762621,-84.52209870000002
IPT,41.245182,-76.91881000000001
